Task,Model,Strategy,Seed,N_Bootstraps,Macro_F1_Mean,Macro_F1_CI_Lower,Macro_F1_CI_Upper,Macro_F1_Error_Margin,G_Mean_Mean,G_Mean_CI_Lower,G_Mean_CI_Upper,G_Mean_Error_Margin
multi,RF,S1,42,1000,0.475283363311832,0.46250546795307534,0.4892659102534648,0.013380221150194715,0.3350473727341797,0.05821333070754658,0.3889288301703075,0.16535774973138045
multi,XGB,S1,42,1000,0.5107017580085341,0.4988769104641562,0.5205283506245901,0.010825720080216955,0.5776206023698536,0.5647809837899249,0.5897652279032009,0.012492122056637966
binary,RF,S0,42,1000,0.863673166254822,0.8613753627359468,0.8662031443620979,0.0024138908130755254,0.8469793409320928,0.844371648638424,0.8497964491694581,0.0027124002655170565
multi,RF,S2A,42,1000,0.49678408641244015,0.4792886140870417,0.512370008199586,0.016540697056272147,0.4500249839231858,0.4189068869553095,0.4740160178694542,0.027554565457072355
binary,RF,S1,42,1000,0.8641350750858603,0.8617818900065827,0.8665767876495536,0.0023974488214854595,0.847464288892332,0.8447063923141285,0.8502697139216537,0.002781660803762631
binary,RF,S2A,42,1000,0.8805966653599933,0.8782307996479893,0.8830081228763287,0.0023886616141696737,0.8679020807135097,0.8653756503267428,0.8704559629535109,0.0025401563133840566
multi,LR,S2B,42,1000,0.36381832218956595,0.3602952808967357,0.3671298039808676,0.0034172615420659525,0.5014581856312776,0.4890769465114751,0.5118344505032958,0.011378751995910347
binary,RF,S2B,42,1000,0.8814462656776652,0.8789339925546962,0.8836895328364204,0.002377770140862101,0.8688582203451147,0.8662063446662562,0.8713234059261444,0.0025585306299441
multi,XGB,S0,42,1000,0.5150501826941344,0.5009544060220326,0.5289043502878548,0.013974972132911101,0.3764071631223292,0.3567067734831216,0.39493458515572044,0.019113905836299433
multi,LR,S0,42,1000,0.34032300999729803,0.3379282157908937,0.3428920042122717,0.0024818942106889785,0.0008329709403696095,0.0007848903152273466,0.0008744723570511094,4.479102091188141e-05
binary,XGB,S2B,42,1000,0.8819876135758156,0.879589307190921,0.8843638433695001,0.0023872680892895737,0.8691378739694435,0.8663014038869956,0.8716654264812129,0.002682011297108655
multi,RF,S0,42,1000,0.4778206151087103,0.4639396330316267,0.4929499733772319,0.01450517017280259,0.3587262027174299,0.31375601436737305,0.3982937349568562,0.042268860294741584
binary,LR,S1,42,1000,0.8308232766856151,0.8280141889684569,0.8335387912789339,0.0027623011552385113,0.8194277193938028,0.8164951422718582,0.8222423306662662,0.00287359419720401
binary,XGB,S0,42,1000,0.8687515974286233,0.866308521283652,0.8710691832029718,0.002380330959659893,0.8529596033100056,0.850297078584021,0.855525339234058,0.0026141303250185044
binary,LR,S2B,42,1000,0.8334136892268879,0.8308809034312199,0.8361361207213494,0.0026276086450647274,0.8221436886323138,0.8193885501925139,0.8250151263816478,0.0028132880945669347
binary,XGB,S1,42,1000,0.9036036100270589,0.9014395859402494,0.9056401041898019,0.002100259124776238,0.8955861109832174,0.8932742330331747,0.8978337997680472,0.0022797833674362833
multi,LR,S2A,42,1000,0.3566085982562895,0.35329098617159554,0.3599163509811239,0.003312682404764178,0.4879129051469173,0.476375304840029,0.49900468804884,0.011314691604405513
multi,XGB,S2A,42,1000,0.5138235932660359,0.5017173781138776,0.5247709691396585,0.011526795512890431,0.5708965525846545,0.5572021358526764,0.5832358683978659,0.01301686627259474
multi,RF,S2B,42,1000,0.482055973969365,0.4684823813853346,0.494962759889256,0.013240189251960688,0.4690121230664776,0.4438145314582539,0.49159383581825883,0.02388965218000247
multi,XGB,S2B,42,1000,0.5104082637952343,0.49822525587609356,0.5213412052035381,0.01155797466372227,0.5097839789005927,0.4906604073049855,0.5280992760121197,0.0187194343535671
binary,LR,S0,42,1000,0.7949900687697193,0.7920214347926149,0.7978253610594471,0.002901963133416119,0.7694605952139729,0.766197598033068,0.7727944402151599,0.0032984210910459444
binary,XGB,S2A,42,1000,0.8982998641910754,0.8962270176425368,0.9004459077919141,0.0021094450746886872,0.8890718264170744,0.8868581922943853,0.8913664712334776,0.0022541394695461126
multi,LR,S1,42,1000,0.3524502444652977,0.3488444947201329,0.3558618901395609,0.003508697709713987,0.4732812708635403,0.46072156339334774,0.4852678235721836,0.012273130089417938
binary,LR,S2A,42,1000,0.8312609645715995,0.8287796247395143,0.8337715767512784,0.0024959760058820835,0.8198536709153016,0.8171090922777308,0.8224967156535232,0.0026938116878962304
