Experiment_ID,Model,Strategy,Class,Precision,Recall,F1,Support
multi_lr_s0_s42,lr,s0,Analysis,0.04187192118226601,0.025110782865583457,0.03139427516158818,677
multi_lr_s1_s42,lr,s1,Analysis,0.059792912352340674,0.6056129985228951,0.10883992567029467,677
multi_lr_s2a_s42,lr,s2a,Analysis,0.05648854961832061,0.5465288035450517,0.10239380102393801,677
multi_lr_s2b_s42,lr,s2b,Analysis,0.05357428434351511,0.4948301329394387,0.09668109668109669,677
multi_rf_s0_s42,rf,s0,Analysis,0.03297609233305853,0.059084194977843424,0.042328042328042326,677
multi_rf_s1_s42,rf,s1,Analysis,0.03593339176161262,0.060561299852289516,0.045104510451045104,677
multi_rf_s2a_s42,rf,s2a,Analysis,0.03678402522333158,0.103397341211226,0.05426356589147287,677
multi_rf_s2b_s42,rf,s2b,Analysis,0.018584420719652037,0.06942392909896603,0.029320024953212728,677
multi_xgb_s0_s42,xgb,s0,Analysis,0.03953147877013177,0.07976366322008863,0.05286343612334802,677
multi_xgb_s1_s42,xgb,s1,Analysis,0.039385474860335196,0.20827178729689808,0.06624383368569416,677
multi_xgb_s2a_s42,xgb,s2a,Analysis,0.047382920110192836,0.25406203840472674,0.07986997910378453,677
multi_xgb_s2b_s42,xgb,s2b,Analysis,0.019864750633981403,0.06942392909896603,0.030890568517909958,677
multi_lr_s0_s42,lr,s0,Backdoor,0.0,0.0,0.0,583
multi_lr_s1_s42,lr,s1,Backdoor,0.04035542391706775,0.18696397941680962,0.06638246041412911,583
multi_lr_s2a_s42,lr,s2a,Backdoor,0.04884402474763921,0.25728987993138935,0.08210180623973727,583
multi_lr_s2b_s42,lr,s2b,Backdoor,0.054130162703379225,0.2967409948542024,0.09155861338978566,583
multi_rf_s0_s42,rf,s0,Backdoor,0.031678274545046056,0.241852487135506,0.05601907032181168,583
multi_rf_s1_s42,rf,s1,Backdoor,0.030689964157706095,0.23499142367066894,0.05428967703586289,583
multi_rf_s2a_s42,rf,s2a,Backdoor,0.0493938845666727,0.46826758147512865,0.08936170212765958,583
multi_rf_s2b_s42,rf,s2b,Backdoor,0.048177083333333336,0.38078902229845624,0.08553265266807937,583
multi_xgb_s0_s42,xgb,s0,Backdoor,0.03365810451727192,0.06518010291595197,0.04439252336448598,583
multi_xgb_s1_s42,xgb,s1,Backdoor,0.05831130461825532,0.6432246998284734,0.10692899914456801,583
multi_xgb_s2a_s42,xgb,s2a,Backdoor,0.05171809256661992,0.5060034305317325,0.0938444409098139,583
multi_xgb_s2b_s42,xgb,s2b,Backdoor,0.056405640564056406,0.32246998284734135,0.09601634320735444,583
multi_lr_s0_s42,lr,s0,Shellcode,0.0,0.0,0.0,378
multi_lr_s1_s42,lr,s1,Shellcode,0.05578775213519898,0.8121693121693122,0.10440401292297229,378
multi_lr_s2a_s42,lr,s2a,Shellcode,0.05742245199409158,0.8227513227513228,0.10735243355195029,378
multi_lr_s2b_s42,lr,s2b,Shellcode,0.05971370143149284,0.7724867724867724,0.1108580106302202,378
multi_rf_s0_s42,rf,s0,Shellcode,0.399673735725938,0.6481481481481481,0.4944500504540868,378
multi_rf_s1_s42,rf,s1,Shellcode,0.4227504244482173,0.6587301587301587,0.5149948293691831,378
multi_rf_s2a_s42,rf,s2a,Shellcode,0.35994587280108253,0.7037037037037037,0.4762757385854969,378
multi_rf_s2b_s42,rf,s2b,Shellcode,0.2058287795992714,0.8968253968253969,0.3348148148148148,378
multi_xgb_s0_s42,xgb,s0,Shellcode,0.34323040380047504,0.7645502645502645,0.4737704918032787,378
multi_xgb_s1_s42,xgb,s1,Shellcode,0.22831632653061223,0.9470899470899471,0.36793422404933196,378
multi_xgb_s2a_s42,xgb,s2a,Shellcode,0.2407152682255846,0.9259259259259259,0.38209606986899564,378
multi_xgb_s2b_s42,xgb,s2b,Shellcode,0.20198482194979567,0.9153439153439153,0.33094213295074126,378
multi_lr_s0_s42,lr,s0,Worms,0.0,0.0,0.0,44
multi_lr_s1_s42,lr,s1,Worms,0.016705336426914155,0.8181818181818182,0.03274215552523874,44
multi_lr_s2a_s42,lr,s2a,Worms,0.01702127659574468,0.8181818181818182,0.0333487725798981,44
multi_lr_s2b_s42,lr,s2b,Worms,0.01724987678659438,0.7954545454545454,0.03376748673420164,44
multi_rf_s0_s42,rf,s0,Worms,0.5,0.09090909090909091,0.15384615384615385,44
multi_rf_s1_s42,rf,s1,Worms,0.5,0.06818181818181818,0.12,44
multi_rf_s2a_s42,rf,s2a,Worms,0.631578947368421,0.2727272727272727,0.38095238095238093,44
multi_rf_s2b_s42,rf,s2b,Worms,0.3469387755102041,0.38636363636363635,0.3655913978494624,44
multi_xgb_s0_s42,xgb,s0,Worms,0.7857142857142857,0.5,0.6111111111111112,44
multi_xgb_s1_s42,xgb,s1,Worms,0.5066666666666667,0.8636363636363636,0.6386554621848739,44
multi_xgb_s2a_s42,xgb,s2a,Worms,0.532258064516129,0.75,0.6226415094339622,44
multi_xgb_s2b_s42,xgb,s2b,Worms,0.44594594594594594,0.75,0.559322033898305,44
